Mês Ano,Órgão Superior,Órgão/Entidade Vinculada,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos,,,,
set/21,25953 - Ministério da Educação,26243 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,43.270.925,26,20.739.188,39,19.999.082,64,14.920.343,90
fev/21,25954 - Ministério da Educação,26244 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,15.071.274,38,12.745.167,62,12.175.773,18,25.151.167,2
nov/21,25955 - Ministério da Educação,26245 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,10.340.593,94,195.553.754,44,195.618.806,55,9.101.478,72
mai/21,25956 - Ministério da Educação,26246 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,59.669.502,7,14.896.559,99,14.862.618,66,25.536.179,1
out/21,25957 - Ministério da Educação,26247 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,-4.781.922,83,51.109.660,33,51.582.641,60,15.252.274,86
jan/21,25958 - Ministério da Educação,26248 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,45.623.165,62,7.132.570,93,2.393.117,57,69.384.068,52
mar/21,25959 -Ministério da Educação,26249 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,18.374.238,24,18.612.932,2,14.532.840,42,137.897.556,40
jun/21,25960 - Ministério da Educação,26250 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,182.722.559,69,21.499.130,50,19.419.674,75,4.073.945,61
jul/21,25961 - Ministério da Educação,26251 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,262.829.875,65,20.328.608,50,22.026.091,23,23.737.143,43
abr/21,25962 - Ministério da Educação,26252 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,11.140.675,13,16.556.562,52,21.112.887,43,166.493.717,18
dez/21,25963 - Ministério da Educação,26253 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,41.980.404,34,90.536.377,71,89.771.399,0,7.825.068,67
ago/21,25964 - Ministério da Educação,26254 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,351.081.556,49,21.809.255,74,21.608.766,34,18.062.898,1
mai/20,25965 - Ministério da Educação,26255 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,8.621.051,2,14.959.638,69,15.089.564,6,45.654.543,50
abr/20,25966 - Ministério da Educação,26256 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,32.882.349,19,18.366.409,90,18.471.007,72,25.652.816,61
nov/20,25967 - Ministério da Educação,26257 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,17.478.049,0,61.734.344,66,60.220.631,56,26.826.785,23
mar/20,25968 - Ministério da Educação,26258 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,80.379.488,18,18.357.360,18,18.350.001,0,111.840.763,30
fev/20,25969 - Ministério da Educação,26259 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,69.729.399,35,13.119.658,62,13.709.203,61,71.573.754,17
ago/20,25970 - Ministério da Educação,26260 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,23.848.267,75,15.238.597,94,15.282.005,22,5.259.848,75
set/20,25971 - Ministério da Educação,26261 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,6.480.291,15,18.918.771,49,18.671.790,6,0,
